CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Finisher Feed,PS37,F007,1500,10000.0,25.76,257600.0,257600.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS24,F001,1500,8000.0,30.75,246000.0,246000.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS24,F001,1500,8000.0,28.7,229600.0,229600.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS24,F001,1500,14000.0,26.56,371840.0,371840.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Finisher Feed,PS24,F001,1500,25000.0,26.56,664000.0,664000.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS37,F004,1500,2500.0,29.95,74875.0,74875.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS37,F004,1500,7000.0,27.9,195300.0,195300.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS37,F004,1500,2500.0,29.95,74875.0,74875.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS37,F004,1500,7000.0,27.9,195300.0,195300.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS37,F004,1500,4000.0,29.95,119800.0,119800.0,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS37,F004,1500,7000.0,27.9,195300.0,195300.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Starter Feed,PS24,F001,1500,10000.0,28.7,287000.0,287000.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS24,F001,1500,21000.0,26.56,557760.0,557760.0,2019-01-02,27.17
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B099,1500,2450.0,29.45,72152.5,72152.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B099,1500,5400.0,27.4,147960.0,147960.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B274,1500,3050.0,29.45,89822.5,89822.5,2019-01-02,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B274,1500,6700.0,27.4,183580.0,183580.0,2019-01-02,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B274,1500,600.0,25.26,15156.0,15156.0,2019-01-02,27.17
